Date,Branch_Transactions,ATM_Transactions,Mobile_App_Transactions,Net_Banking_Transactions
2023-01-01,124,105,486,63
2023-01-02,399,247,328,222
2023-01-03,271,184,535,263
2023-01-04,276,181,537,234
2023-01-05,249,268,435,257
2023-01-06,322,224,437,96
2023-01-07,148,99,304,205
2023-01-08,147,67,458,186
2023-01-09,264,249,724,134
2023-01-10,290,213,728,155
2023-01-11,253,162,622,157
2023-01-12,257,209,530,264
2023-01-13,304,209,489,121
2023-01-14,140,102,355,56
2023-01-15,93,98,493,250
2023-01-16,290,171,462,137
2023-01-17,339,285,430,128
2023-01-18,350,212,533,295
2023-01-19,231,144,483,203
2023-01-20,282,298,468,166
2023-01-21,156,138,327,141
2023-01-22,199,142,421,295
2023-01-23,399,143,330,247
2023-01-24,368,191,449,150
2023-01-25,241,245,461,218
2023-01-26,208,240,558,119
2023-01-27,312,200,454,25
2023-01-28,116,112,345,136
2023-01-29,224,96,190,138
2023-01-30,304,166,573,112
2023-01-31,293,141,470,242
2023-02-01,291,191,502,204
2023-02-02,334,227,642,210
2023-02-03,216,234,634,347
2023-02-04,222,80,418,133
2023-02-05,129,95,528,54
2023-02-06,249,248,645,160
2023-02-07,382,239,473,53
2023-02-08,216,173,575,245
2023-02-09,276,190,496,186
2023-02-10,308,198,332,187
2023-02-11,148,139,316,162
2023-02-12,178,94,224,210
2023-02-13,337,209,504,93
2023-02-14,338,259,388,280
2023-02-15,356,154,460,116
2023-02-16,296,217,367,223
2023-02-17,331,226,545,126
2023-02-18,143,114,546,150
2023-02-19,171,62,284,73
2023-02-20,278,282,459,221
2023-02-21,327,156,456,237
2023-02-22,321,120,559,166
2023-02-23,273,216,652,187
2023-02-24,358,142,513,167
2023-02-25,164,88,265,96
2023-02-26,67,47,448,134
2023-02-27,311,272,470,238
2023-02-28,301,310,198,156
2023-03-01,332,169,556,196
2023-03-02,343,154,517,227
2023-03-03,306,205,620,99
2023-03-04,156,51,475,99
2023-03-05,26,131,373,171
2023-03-06,371,214,516,197
2023-03-07,242,191,697,177
2023-03-08,292,250,345,237
2023-03-09,220,215,497,236
2023-03-10,249,178,566,169
2023-03-11,187,108,355,131
2023-03-12,150,91,473,127
2023-03-13,271,236,457,167
2023-03-14,175,158,416,167
2023-03-15,263,239,422,157
2023-03-16,307,155,656,248
2023-03-17,241,240,622,131
2023-03-18,91,75,258,103
2023-03-19,129,120,408,141
2023-03-20,275,147,559,234
2023-03-21,269,155,655,214
2023-03-22,319,217,379,289
2023-03-23,279,232,645,204
2023-03-24,240,100,496,215
2023-03-25,120,105,443,209
2023-03-26,138,98,382,152
2023-03-27,274,179,454,209
2023-03-28,257,181,680,253
2023-03-29,252,234,562,193
2023-03-30,264,167,522,149
2023-03-31,354,255,495,268
2023-04-01,129,71,510,244
2023-04-02,248,113,486,168
2023-04-03,370,217,580,131
2023-04-04,288,232,572,253
2023-04-05,306,173,494,202
2023-04-06,312,161,473,194
2023-04-07,187,233,516,215
2023-04-08,124,123,316,109
2023-04-09,181,114,272,244
2023-04-10,262,194,674,76
2023-04-11,214,217,252,77
2023-04-12,358,183,719,137
2023-04-13,284,221,547,184
2023-04-14,267,209,637,245
2023-04-15,118,60,330,73
2023-04-16,157,132,392,253
2023-04-17,388,212,570,145
2023-04-18,281,250,442,289
2023-04-19,355,230,382,181
2023-04-20,332,160,480,245
2023-04-21,271,166,319,176
2023-04-22,188,65,401,136
2023-04-23,116,133,564,210
2023-04-24,265,279,600,172
2023-04-25,261,244,517,148
2023-04-26,292,183,417,260
2023-04-27,339,233,582,145
2023-04-28,269,258,510,111
2023-04-29,160,126,452,93
2023-04-30,244,39,411,254
2023-05-01,329,233,394,220
2023-05-02,298,154,586,150
2023-05-03,264,217,485,210
2023-05-04,289,256,407,172
2023-05-05,324,160,396,208
2023-05-06,193,139,409,109
2023-05-07,163,122,426,224
2023-05-08,249,172,609,111
2023-05-09,273,170,343,188
2023-05-10,337,206,579,271
2023-05-11,280,305,465,187
2023-05-12,264,221,470,195
2023-05-13,139,90,415,122
2023-05-14,129,142,370,173
2023-05-15,255,182,376,311
2023-05-16,368,223,715,246
2023-05-17,291,214,636,147
2023-05-18,241,216,441,64
2023-05-19,237,187,504,204
2023-05-20,250,91,427,52
2023-05-21,148,113,262,93
2023-05-22,324,178,489,232
2023-05-23,401,191,676,82
2023-05-24,307,186,446,239
2023-05-25,289,119,341,243
2023-05-26,218,229,512,189
2023-05-27,145,120,282,152
2023-05-28,93,106,464,159
2023-05-29,330,171,493,185
2023-05-30,284,167,456,133
